id,timepoint,ear,frequency,min_level,max_level,manual threshold
18,0,left,8000,15,105,65.0
18,1,left,8000,15,105,55.0
18,0,left,11313,15,105,85.0
18,1,left,11313,15,105,85.0
18,0,left,16000,15,105,95.0
18,1,left,16000,15,105,95.0
18,0,left,22627,15,105,100.0
18,1,left,22627,15,105,95.0
18,0,left,32000,15,105,95.0
18,1,left,32000,15,105,95.0
18,0,left,45254,15,105,100.0
18,1,left,45254,15,105,105.0
18,0,right,4000,15,105,55.0
18,1,right,4000,15,105,30.0
18,0,right,5656,15,105,45.0
18,1,right,5656,15,105,30.0
18,0,right,8000,15,105,40.0
18,1,right,8000,15,105,40.0
18,0,right,11313,15,105,75.0
18,1,right,11313,15,105,55.0
18,0,right,16000,15,105,95.0
18,1,right,16000,15,105,85.0
18,0,right,22627,15,105,90.0
18,1,right,22627,15,105,90.0
18,0,right,32000,15,105,95.0
18,1,right,32000,15,105,80.0
18,0,right,45254,15,105,inf
18,1,right,45254,15,105,105.0
19,0,left,4000,65,105,inf
19,1,left,4000,65,105,105.0
19,2,left,4000,65,105,inf
19,0,left,5656,65,105,inf
19,1,left,5656,65,105,105.0
19,2,left,5656,65,105,inf
19,0,left,8000,65,105,105.0
19,1,left,8000,65,105,95.0
19,2,left,8000,65,105,inf
19,0,left,11313,65,105,100.0
19,1,left,11313,65,105,95.0
19,2,left,11313,65,105,inf
19,0,left,16000,65,105,100.0
19,1,left,16000,65,105,95.0
19,2,left,16000,65,105,inf
19,0,left,22627,65,105,85.0
19,1,left,22627,65,105,95.0
19,2,left,22627,65,105,inf
19,0,left,32000,65,105,95.0
19,1,left,32000,65,105,105.0
19,2,left,32000,65,105,inf
19,0,right,4000,65,105,inf
19,1,right,4000,65,105,inf
19,2,right,4000,65,105,inf
19,0,right,5656,65,105,inf
19,1,right,5656,65,105,inf
19,2,right,5656,65,105,inf
19,0,right,8000,65,105,inf
19,1,right,8000,65,105,100.0
19,2,right,8000,65,105,inf
19,0,right,11313,65,105,100.0
19,1,right,11313,65,105,100.0
19,2,right,11313,65,105,105.0
