threshold,id,timepoint,ear,frequency,status,status_message,pth
91.92,104,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 16000.png
81.76,104,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 22627.png
87.42,104,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 32000.png
inf,104,0,right,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 4000.png
91.46,104,0,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 45254.png
100.35,104,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 5656.png
95.66,104,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 8000.png
68.26,104,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 11313.png
92.56,104,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 16000.png
83.38,104,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 22627.png
89.63,104,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 32000.png
89.77,104,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 4000.png
100.08,104,1,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 45254.png
83.0,104,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 5656.png
69.31,104,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint1_left abr_io_ABRpresto_fit 8000.png
69.42,105,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 11313.png
82.35,105,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 16000.png
87.26,105,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 22627.png
91.6,105,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 32000.png
65.62,105,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 4000.png
86.42,105,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 45254.png
68.54,105,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 5656.png
46.63,105,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_left abr_io_ABRpresto_fit 8000.png
68.81,105,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 11313.png
92.17,105,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 16000.png
94.46,105,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 22627.png
98.16,105,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 32000.png
68.75,105,0,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 4000.png
98.04,105,0,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 45254.png
55.27,105,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 5656.png
46.18,105,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint0_right abr_io_ABRpresto_fit 8000.png
70.08,105,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 11313.png
83.73,105,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 16000.png
87.67,105,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 22627.png
90.53,105,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 32000.png
78.67,105,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 4000.png
90.05,105,1,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 45254.png
67.28,105,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 5656.png
55.71,105,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_left abr_io_ABRpresto_fit 8000.png
65.38,105,1,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 11313.png
87.98,105,1,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 16000.png
89.78,105,1,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 22627.png
96.94,105,1,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 32000.png
64.84,105,1,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 4000.png
inf,105,1,right,45254,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 45254.png
54.7,105,1,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 5656.png
48.34,105,1,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse105_timepoint1_right abr_io_ABRpresto_fit 8000.png
75.88,106,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 11313.png
55.71,106,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 16000.png
55.68,106,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 22627.png
91.24,106,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 32000.png
inf,106,0,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 4000.png
90.42,106,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 45254.png
inf,106,0,left,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 5656.png
104.76,106,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_left abr_io_ABRpresto_fit 8000.png
98.5,106,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 11313.png
88.07,106,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 16000.png
94.63,106,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 22627.png
98.45,106,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 32000.png
82.72,106,0,right,4000,Success,power law (noisy),C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 4000.png
104.13,106,0,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 45254.png
inf,106,0,right,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 5656.png
100.1,106,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse106_timepoint0_right abr_io_ABRpresto_fit 8000.png
35.32,107,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 11313.png
30.15,107,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 16000.png
35.32,107,0,left,22627,Success,power law,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 22627.png
39.59,107,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 32000.png
55.06,107,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 4000.png
43.39,107,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 45254.png
57.58,107,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 5656.png
39.52,107,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse107_timepoint0_left abr_io_ABRpresto_fit 8000.png
inf,108,0,left,11313,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 11313.png
inf,108,0,left,16000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 16000.png
inf,108,0,left,22627,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 22627.png
inf,108,0,left,32000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 32000.png
inf,108,0,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 4000.png
inf,108,0,left,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 5656.png
inf,108,0,left,8000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint0_left abr_io_ABRpresto_fit 8000.png
inf,108,1,left,11313,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 11313.png
inf,108,1,left,16000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 16000.png
inf,108,1,left,22627,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 22627.png
inf,108,1,left,32000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 32000.png
inf,108,1,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 4000.png
inf,108,1,left,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse108_timepoint1_left abr_io_ABRpresto_fit 5656.png
